sweep,size,algorithm,probability_numerator,probability_denominator,probability,seed,request_id,status,message_correct,sender_note,received_bits,source_bits,redundancy_bits,reported_flipped_bits,detected_units,corrected_bits,uncorrectable_units,overhead_ratio
main,8,crc32-iso-hdlc,1,10,0.1,2,main-163,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,3,main-164,detected_uncorrectable,,,96,64,32,6,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,4,main-165,detected_uncorrectable,,,96,64,32,9,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,5,main-166,detected_uncorrectable,,,96,64,32,7,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,6,main-167,detected_uncorrectable,,,96,64,32,9,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,7,main-168,detected_uncorrectable,,,96,64,32,10,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,8,main-169,detected_uncorrectable,,,96,64,32,11,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,9,main-170,detected_uncorrectable,,,96,64,32,11,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,10,main-171,detected_uncorrectable,,,96,64,32,11,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,11,main-172,detected_uncorrectable,,,96,64,32,4,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,12,main-173,detected_uncorrectable,,,96,64,32,5,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,13,main-174,detected_uncorrectable,,,96,64,32,7,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,14,main-175,detected_uncorrectable,,,96,64,32,11,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,15,main-176,detected_uncorrectable,,,96,64,32,7,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,16,main-177,detected_uncorrectable,,,96,64,32,12,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,17,main-178,detected_uncorrectable,,,96,64,32,13,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,18,main-179,detected_uncorrectable,,,96,64,32,15,1,0,1,0.5
main,8,crc32-iso-hdlc,1,10,0.1,19,main-180,detected_uncorrectable,,,96,64,32,7,1,0,1,0.5
main,8,hamming-secded-13-8,0,1,0.0,0,main-181,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,1,main-182,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,2,main-183,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,3,main-184,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,4,main-185,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,5,main-186,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,6,main-187,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,7,main-188,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,8,main-189,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,9,main-190,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,10,main-191,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,11,main-192,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,12,main-193,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,13,main-194,ok,True,,104,64,40,0,0,0,0,0.625
main,8,hamming-secded-13-8,0,1,0.0,14,main-195,ok,True,,104,64,40,0,0,0,0,0.625
